record_index	base_address	updater_call	physical_source	binding_global	env_file_offset	current_env_binding	logical_role	field_0x00	field_0x04	field_0x08	field_0x0C
10	0x004B7D50	0x0040522C	keyboard_bit_0x80	0x004B73AC	0x0C	0xCF DIK_END	configurable binding slot 10	+0 current rapid-press multiplicity (clears on second released sample)	+4 release timestamp; zero while continuously held	+8 rapid-press chain stage 0..3; resets after >150 clock units released	+0x0C continuous raw-down sample count; zero on release
11	0x004B7D60	none	none	none	none	none	reserved/unupdated record	+0 current rapid-press multiplicity (clears on second released sample)	+4 release timestamp; zero while continuously held	+8 rapid-press chain stage 0..3; resets after >150 clock units released	+0x0C continuous raw-down sample count; zero on release
12	0x004B7D70	0x00405155	keyboard_bit_0x80	0x004B73B4	0x09	0x1C DIK_RETURN	alternate confirm binding	+0 current rapid-press multiplicity (clears on second released sample)	+4 release timestamp; zero while continuously held	+8 rapid-press chain stage 0..3; resets after >150 clock units released	+0x0C continuous raw-down sample count; zero on release
13	0x004B7D80	none	none	none	none	none	reserved/unupdated record	+0 current rapid-press multiplicity (clears on second released sample)	+4 release timestamp; zero while continuously held	+8 rapid-press chain stage 0..3; resets after >150 clock units released	+0x0C continuous raw-down sample count; zero on release
14	0x004B7D90	0x00405304	mouse_mask_bit_1 (value 2)	none	none	mouse button 1	right mouse button	+0 current rapid-press multiplicity (clears on second released sample)	+4 release timestamp; zero while continuously held	+8 rapid-press chain stage 0..3; resets after >150 clock units released	+0x0C continuous raw-down sample count; zero on release
15	0x004B7DA0	0x004052F4	mouse_mask_bit_0 (value 1)	none	none	mouse button 0	left mouse button; suppression target	+0 current rapid-press multiplicity (clears on second released sample)	+4 release timestamp; zero while continuously held	+8 rapid-press chain stage 0..3; resets after >150 clock units released	+0x0C continuous raw-down sample count; zero on release
16	0x004B7DB0	0x00405288	keyboard_bit_0x80	0x004B73C4	0x0E	0x13 DIK_R	configurable binding slot 16	+0 current rapid-press multiplicity (clears on second released sample)	+4 release timestamp; zero while continuously held	+8 rapid-press chain stage 0..3; resets after >150 clock units released	+0x0C continuous raw-down sample count; zero on release
17	0x004B7DC0	0x004052A7	keyboard_bit_0x80	0x004B73C8	0x0F	0x1E DIK_A	configurable binding slot 17	+0 current rapid-press multiplicity (clears on second released sample)	+4 release timestamp; zero while continuously held	+8 rapid-press chain stage 0..3; resets after >150 clock units released	+0x0C continuous raw-down sample count; zero on release
18	0x004B7DD0	0x004052C5	keyboard_bit_0x80	0x004B73CC	0x10	0x22 DIK_G	configurable binding slot 18	+0 current rapid-press multiplicity (clears on second released sample)	+4 release timestamp; zero while continuously held	+8 rapid-press chain stage 0..3; resets after >150 clock units released	+0x0C continuous raw-down sample count; zero on release
19	0x004B7DE0	0x004052E4	keyboard_bit_0x80	0x004B73D0	0x11	0x3B DIK_F1	configurable binding slot 19	+0 current rapid-press multiplicity (clears on second released sample)	+4 release timestamp; zero while continuously held	+8 rapid-press chain stage 0..3; resets after >150 clock units released	+0x0C continuous raw-down sample count; zero on release
